i = 0 , a = 23 , b = 37 , c = 60 
i = 101 , a = 10 , b = 30 , c = 40 
i = 102 , a = 34 , b = 12 , c = 46 
i = 103 , a = 18 , b = 31 , c = 49 
i = 104 , a = 27 , b = 17 , c = 44 
i = 105 , a = 1 , b = 35 , c = 36 
i = 106 , a = 17 , b = 1 , c = 18 
i = 107 , a = 22 , b = 37 , c = 59 
i = 108 , a = 37 , b = 14 , c = 51 
i = 109 , a = 12 , b = 11 , c = 23 
i = 110 , a = 12 , b = 27 , c = 39 
i = 111 , a = 36 , b = 31 , c = 67 
i = 112 , a = 21 , b = 31 , c = 52 
i = 113 , a = 0 , b = 21 , c = 21 
i = 114 , a = 6 , b = 17 , c = 23 
i = 115 , a = 1 , b = 20 , c = 21 
i = 116 , a = 25 , b = 14 , c = 39 
i = 117 , a = 9 , b = 30 , c = 39 
i = 118 , a = 4 , b = 18 , c = 22 
i = 119 , a = 19 , b = 5 , c = 24 
i = 120 , a = 0 , b = 1 , c = 1 
i = 121 , a = 9 , b = 36 , c = 45 
i = 122 , a = 31 , b = 36 , c = 67 
i = 123 , a = 37 , b = 2 , c = 39 
i = 124 , a = 17 , b = 31 , c = 48 
i = 125 , a = 11 , b = 19 , c = 30 
i = 126 , a = 1 , b = 36 , c = 37 
i = 127 , a = 35 , b = 4 , c = 39 
i = 128 , a = 29 , b = 18 , c = 47 
i = 129 , a = 7 , b = 20 , c = 27 
i = 130 , a = 7 , b = 18 , c = 25 
i = 131 , a = 16 , b = 21 , c = 37 
i = 132 , a = 17 , b = 10 , c = 27 
i = 133 , a = 33 , b = 22 , c = 55 
i = 134 , a = 26 , b = 12 , c = 38 
i = 135 , a = 5 , b = 19 , c = 24 
i = 136 , a = 26 , b = 17 , c = 43 
i = 137 , a = 3 , b = 5 , c = 8 
i = 138 , a = 19 , b = 16 , c = 35 
i = 139 , a = 24 , b = 24 , c = 48 
i = 140 , a = 8 , b = 16 , c = 24 
i = 141 , a = 31 , b = 3 , c = 34 
i = 142 , a = 12 , b = 7 , c = 19 
i = 143 , a = 29 , b = 39 , c = 68 
i = 144 , a = 23 , b = 17 , c = 40 
i = 145 , a = 19 , b = 24 , c = 43 
i = 146 , a = 30 , b = 19 , c = 49 
i = 147 , a = 8 , b = 31 , c = 39 
i = 148 , a = 28 , b = 7 , c = 35 
i = 149 , a = 35 , b = 30 , c = 65 
i = 150 , a = 20 , b = 36 , c = 56 
i = 151 , a = 29 , b = 0 , c = 29 
i = 152 , a = 36 , b = 18 , c = 54 
i = 153 , a = 3 , b = 25 , c = 28 
i = 154 , a = 18 , b = 3 , c = 21 
i = 155 , a = 5 , b = 9 , c = 14 
i = 156 , a = 6 , b = 4 , c = 10 
i = 157 , a = 11 , b = 31 , c = 42 
i = 158 , a = 1 , b = 5 , c = 6 
i = 159 , a = 35 , b = 14 , c = 49 
i = 160 , a = 19 , b = 11 , c = 30 
i = 161 , a = 8 , b = 15 , c = 23 
i = 162 , a = 4 , b = 35 , c = 39 
i = 163 , a = 28 , b = 14 , c = 42 
i = 164 , a = 1 , b = 29 , c = 30 
i = 165 , a = 30 , b = 8 , c = 38 
i = 166 , a = 33 , b = 33 , c = 66 
i = 167 , a = 20 , b = 38 , c = 58 
i = 168 , a = 34 , b = 5 , c = 39 
i = 169 , a = 4 , b = 2 , c = 6 
i = 170 , a = 4 , b = 22 , c = 26 
i = 171 , a = 34 , b = 22 , c = 56 
i = 172 , a = 27 , b = 37 , c = 64 
i = 173 , a = 16 , b = 30 , c = 46 
i = 174 , a = 23 , b = 13 , c = 36 
i = 175 , a = 11 , b = 14 , c = 25 
i = 176 , a = 27 , b = 6 , c = 33 
i = 177 , a = 5 , b = 33 , c = 38 
i = 178 , a = 19 , b = 6 , c = 25 
i = 179 , a = 16 , b = 13 , c = 29 
i = 180 , a = 32 , b = 23 , c = 55 
i = 181 , a = 31 , b = 34 , c = 65 
i = 182 , a = 37 , b = 14 , c = 51 
i = 183 , a = 28 , b = 33 , c = 61 
i = 184 , a = 35 , b = 19 , c = 54 
i = 185 , a = 7 , b = 17 , c = 24 
i = 186 , a = 34 , b = 2 , c = 36 
i = 187 , a = 1 , b = 15 , c = 16 
i = 188 , a = 18 , b = 8 , c = 26 
i = 189 , a = 35 , b = 39 , c = 74 
i = 190 , a = 29 , b = 30 , c = 59 
i = 191 , a = 37 , b = 12 , c = 49 
i = 192 , a = 35 , b = 14 , c = 49 
i = 193 , a = 33 , b = 17 , c = 50 
i = 194 , a = 18 , b = 26 , c = 44 
i = 195 , a = 28 , b = 35 , c = 63 
i = 196 , a = 23 , b = 17 , c = 40 
i = 197 , a = 11 , b = 11 , c = 22 
i = 198 , a = 8 , b = 33 , c = 41 
i = 199 , a = 9 , b = 23 , c = 32 
i = 200 , a = 16 , b = 13 , c = 29 
i = 201 , a = 4 , b = 8 , c = 12 
i = 202 , a = 3 , b = 5 , c = 8 
i = 203 , a = 3 , b = 11 , c = 14 
i = 204 , a = 13 , b = 30 , c = 43 
i = 205 , a = 18 , b = 18 , c = 36 
i = 206 , a = 6 , b = 17 , c = 23 
i = 207 , a = 0 , b = 36 , c = 36 
i = 208 , a = 24 , b = 3 , c = 27 
i = 209 , a = 18 , b = 15 , c = 33 
i = 210 , a = 8 , b = 10 , c = 18 
i = 211 , a = 8 , b = 18 , c = 26 
i = 212 , a = 9 , b = 10 , c = 19 
i = 213 , a = 37 , b = 24 , c = 61 
i = 214 , a = 37 , b = 11 , c = 48 
i = 215 , a = 36 , b = 21 , c = 57 
i = 216 , a = 4 , b = 33 , c = 37 
i = 217 , a = 23 , b = 5 , c = 28 
i = 218 , a = 30 , b = 29 , c = 59 
i = 219 , a = 23 , b = 33 , c = 56 
i = 220 , a = 10 , b = 4 , c = 14 
i = 221 , a = 19 , b = 11 , c = 30 
i = 222 , a = 12 , b = 5 , c = 17 
i = 223 , a = 5 , b = 10 , c = 15 
i = 224 , a = 4 , b = 28 , c = 32 
i = 225 , a = 30 , b = 23 , c = 53 
i = 226 , a = 25 , b = 5 , c = 30 
i = 227 , a = 19 , b = 6 , c = 25 
i = 228 , a = 34 , b = 35 , c = 69 
i = 229 , a = 26 , b = 39 , c = 65 
i = 230 , a = 29 , b = 29 , c = 58 
i = 231 , a = 2 , b = 0 , c = 2 
i = 232 , a = 22 , b = 7 , c = 29 
i = 233 , a = 24 , b = 26 , c = 50 
i = 234 , a = 37 , b = 3 , c = 40 
i = 235 , a = 27 , b = 37 , c = 64 
i = 236 , a = 35 , b = 36 , c = 71 
i = 237 , a = 4 , b = 21 , c = 25 
i = 238 , a = 28 , b = 25 , c = 53 
i = 239 , a = 11 , b = 0 , c = 11 
i = 240 , a = 22 , b = 36 , c = 58 
i = 241 , a = 28 , b = 35 , c = 63 
i = 242 , a = 19 , b = 10 , c = 29 
i = 243 , a = 23 , b = 38 , c = 61 
i = 244 , a = 26 , b = 11 , c = 37 
i = 245 , a = 8 , b = 22 , c = 30 
i = 246 , a = 20 , b = 12 , c = 32 
i = 247 , a = 22 , b = 36 , c = 58 
i = 248 , a = 31 , b = 19 , c = 50 
i = 249 , a = 10 , b = 1 , c = 11 
i = 250 , a = 5 , b = 30 , c = 35 
i = 251 , a = 1 , b = 24 , c = 25 
i = 252 , a = 21 , b = 12 , c = 33 
i = 253 , a = 10 , b = 27 , c = 37 
i = 254 , a = 38 , b = 34 , c = 72 
i = 255 , a = 25 , b = 0 , c = 25 
i = 256 , a = 0 , b = 3 , c = 3 
i = 257 , a = 16 , b = 32 , c = 48 
i = 258 , a = 4 , b = 38 , c = 42 
i = 259 , a = 26 , b = 30 , c = 56 
i = 260 , a = 2 , b = 23 , c = 25 
i = 261 , a = 25 , b = 27 , c = 52 
i = 262 , a = 28 , b = 30 , c = 58 
i = 263 , a = 16 , b = 30 , c = 46 
i = 264 , a = 2 , b = 13 , c = 15 
i = 265 , a = 18 , b = 34 , c = 52 
i = 266 , a = 4 , b = 19 , c = 23 
i = 267 , a = 37 , b = 2 , c = 39 
i = 268 , a = 22 , b = 7 , c = 29 
i = 269 , a = 24 , b = 4 , c = 28 
i = 270 , a = 0 , b = 2 , c = 2 
i = 271 , a = 36 , b = 35 , c = 71 
i = 272 , a = 12 , b = 32 , c = 44 
i = 273 , a = 19 , b = 4 , c = 23 
i = 274 , a = 19 , b = 34 , c = 53 
i = 275 , a = 30 , b = 3 , c = 33 
i = 276 , a = 28 , b = 18 , c = 46 
i = 277 , a = 31 , b = 6 , c = 37 
i = 278 , a = 13 , b = 0 , c = 13 
i = 279 , a = 11 , b = 38 , c = 49 
i = 280 , a = 1 , b = 39 , c = 40 
i = 281 , a = 10 , b = 22 , c = 32 
i = 282 , a = 13 , b = 22 , c = 35 
i = 283 , a = 14 , b = 3 , c = 17 
i = 284 , a = 20 , b = 1 , c = 21 
i = 285 , a = 3 , b = 8 , c = 11 
i = 286 , a = 39 , b = 3 , c = 42 
i = 287 , a = 21 , b = 4 , c = 25 
i = 288 , a = 19 , b = 32 , c = 51 
i = 289 , a = 36 , b = 2 , c = 38 
i = 290 , a = 39 , b = 34 , c = 73 
i = 291 , a = 13 , b = 15 , c = 28 
i = 292 , a = 13 , b = 21 , c = 34 
i = 293 , a = 28 , b = 17 , c = 45 
i = 294 , a = 30 , b = 5 , c = 35 
i = 295 , a = 15 , b = 27 , c = 42 
i = 296 , a = 6 , b = 11 , c = 17 
i = 297 , a = 26 , b = 16 , c = 42 
i = 298 , a = 4 , b = 29 , c = 33 
i = 299 , a = 20 , b = 18 , c = 38 
i = 300 , a = 10 , b = 21 , c = 31 
i = 301 , a = 4 , b = 23 , c = 27 
i = 302 , a = 16 , b = 13 , c = 29 
i = 303 , a = 22 , b = 13 , c = 35 
i = 304 , a = 16 , b = 27 , c = 43 
i = 305 , a = 27 , b = 39 , c = 66 
i = 306 , a = 5 , b = 8 , c = 13 
i = 307 , a = 36 , b = 6 , c = 42 
i = 308 , a = 19 , b = 37 , c = 56 
i = 309 , a = 18 , b = 0 , c = 18 
i = 310 , a = 7 , b = 4 , c = 11 
i = 311 , a = 12 , b = 28 , c = 40 
i = 312 , a = 28 , b = 14 , c = 42 
i = 313 , a = 12 , b = 18 , c = 30 
i = 314 , a = 19 , b = 31 , c = 50 
i = 315 , a = 9 , b = 16 , c = 25 
i = 316 , a = 16 , b = 18 , c = 34 
i = 317 , a = 10 , b = 35 , c = 45 
i = 318 , a = 22 , b = 12 , c = 34 
i = 319 , a = 27 , b = 11 , c = 38 
i = 320 , a = 6 , b = 29 , c = 35 
i = 321 , a = 21 , b = 39 , c = 60 
i = 322 , a = 33 , b = 26 , c = 59 
i = 323 , a = 12 , b = 10 , c = 22 
i = 324 , a = 1 , b = 16 , c = 17 
i = 325 , a = 15 , b = 24 , c = 39 
i = 326 , a = 19 , b = 29 , c = 48 
i = 327 , a = 39 , b = 19 , c = 58 
i = 328 , a = 1 , b = 0 , c = 1 
i = 329 , a = 24 , b = 18 , c = 42 
i = 330 , a = 19 , b = 29 , c = 48 
i = 331 , a = 11 , b = 13 , c = 24 
i = 332 , a = 20 , b = 1 , c = 21 
i = 333 , a = 27 , b = 34 , c = 61 
i = 334 , a = 25 , b = 18 , c = 43 
i = 335 , a = 28 , b = 29 , c = 57 
i = 336 , a = 7 , b = 26 , c = 33 
i = 337 , a = 30 , b = 27 , c = 57 
i = 338 , a = 24 , b = 27 , c = 51 
i = 339 , a = 18 , b = 23 , c = 41 
i = 340 , a = 0 , b = 27 , c = 27 
i = 341 , a = 24 , b = 31 , c = 55 
i = 342 , a = 22 , b = 12 , c = 34 
i = 343 , a = 29 , b = 2 , c = 31 
i = 344 , a = 36 , b = 1 , c = 37 
i = 345 , a = 1 , b = 35 , c = 36 
i = 346 , a = 30 , b = 10 , c = 40 
i = 347 , a = 4 , b = 19 , c = 23 
i = 348 , a = 12 , b = 30 , c = 42 
i = 349 , a = 12 , b = 14 , c = 26 
i = 350 , a = 32 , b = 30 , c = 62 
i = 351 , a = 10 , b = 11 , c = 21 
i = 352 , a = 25 , b = 13 , c = 38 
i = 353 , a = 25 , b = 17 , c = 42 
i = 354 , a = 22 , b = 14 , c = 36 
i = 355 , a = 19 , b = 21 , c = 40 
i = 356 , a = 0 , b = 1 , c = 1 
i = 357 , a = 2 , b = 3 , c = 5 
i = 358 , a = 18 , b = 0 , c = 18 
i = 359 , a = 33 , b = 33 , c = 66 
i = 360 , a = 18 , b = 22 , c = 40 
i = 361 , a = 30 , b = 21 , c = 51 
i = 362 , a = 4 , b = 7 , c = 11 
i = 363 , a = 30 , b = 15 , c = 45 
i = 364 , a = 9 , b = 16 , c = 25 
i = 365 , a = 21 , b = 25 , c = 46 
i = 366 , a = 19 , b = 4 , c = 23 
i = 367 , a = 16 , b = 2 , c = 18 
i = 368 , a = 12 , b = 12 , c = 24 
i = 369 , a = 35 , b = 31 , c = 66 
i = 370 , a = 34 , b = 17 , c = 51 
i = 371 , a = 4 , b = 32 , c = 36 
i = 372 , a = 19 , b = 14 , c = 33 
i = 373 , a = 9 , b = 21 , c = 30 
i = 374 , a = 33 , b = 26 , c = 59 
i = 375 , a = 16 , b = 15 , c = 31 
i = 376 , a = 10 , b = 17 , c = 27 
i = 377 , a = 15 , b = 28 , c = 43 
i = 378 , a = 20 , b = 35 , c = 55 
i = 379 , a = 22 , b = 39 , c = 61 
i = 380 , a = 19 , b = 2 , c = 21 
i = 381 , a = 4 , b = 17 , c = 21 
i = 382 , a = 33 , b = 3 , c = 36 
i = 383 , a = 5 , b = 16 , c = 21 
i = 384 , a = 21 , b = 34 , c = 55 
i = 385 , a = 7 , b = 17 , c = 24 
i = 386 , a = 24 , b = 29 , c = 53 
i = 387 , a = 13 , b = 27 , c = 40 
i = 388 , a = 1 , b = 12 , c = 13 
i = 389 , a = 34 , b = 22 , c = 56 
i = 390 , a = 6 , b = 21 , c = 27 
i = 391 , a = 19 , b = 26 , c = 45 
i = 392 , a = 24 , b = 3 , c = 27 
i = 393 , a = 2 , b = 20 , c = 22 
i = 394 , a = 2 , b = 2 , c = 4 
i = 395 , a = 26 , b = 11 , c = 37 
i = 396 , a = 24 , b = 5 , c = 29 
i = 397 , a = 21 , b = 6 , c = 27 
i = 398 , a = 2 , b = 5 , c = 7 
i = 399 , a = 28 , b = 10 , c = 38 
i = 400 , a = 8 , b = 30 , c = 38 
i = 401 , a = 29 , b = 23 , c = 52 
i = 402 , a = 32 , b = 34 , c = 66 
i = 403 , a = 28 , b = 36 , c = 64 
i = 404 , a = 38 , b = 36 , c = 74 
i = 405 , a = 18 , b = 20 , c = 38 
i = 406 , a = 36 , b = 12 , c = 48 
i = 407 , a = 8 , b = 5 , c = 13 
i = 408 , a = 33 , b = 8 , c = 41 
i = 409 , a = 8 , b = 39 , c = 47 
i = 410 , a = 23 , b = 5 , c = 28 
i = 411 , a = 13 , b = 10 , c = 23 
i = 412 , a = 13 , b = 16 , c = 29 
i = 413 , a = 8 , b = 0 , c = 8 
i = 414 , a = 10 , b = 18 , c = 28 
i = 415 , a = 34 , b = 3 , c = 37 
i = 416 , a = 7 , b = 17 , c = 24 
i = 417 , a = 26 , b = 8 , c = 34 
i = 418 , a = 8 , b = 22 , c = 30 
i = 419 , a = 9 , b = 21 , c = 30 
i = 420 , a = 20 , b = 30 , c = 50 
i = 421 , a = 6 , b = 35 , c = 41 
i = 422 , a = 28 , b = 8 , c = 36 
i = 423 , a = 37 , b = 25 , c = 62 
i = 424 , a = 9 , b = 15 , c = 24 
i = 425 , a = 30 , b = 10 , c = 40 
i = 426 , a = 23 , b = 37 , c = 60 
i = 427 , a = 33 , b = 13 , c = 46 
i = 428 , a = 3 , b = 8 , c = 11 
i = 429 , a = 17 , b = 2 , c = 19 
i = 430 , a = 13 , b = 23 , c = 36 
i = 431 , a = 12 , b = 30 , c = 42 
i = 432 , a = 6 , b = 17 , c = 23 
i = 433 , a = 5 , b = 17 , c = 22 
i = 434 , a = 32 , b = 27 , c = 59 
i = 435 , a = 36 , b = 6 , c = 42 
i = 436 , a = 15 , b = 29 , c = 44 
i = 437 , a = 28 , b = 31 , c = 59 
i = 438 , a = 37 , b = 11 , c = 48 
i = 439 , a = 9 , b = 29 , c = 38 
i = 440 , a = 36 , b = 30 , c = 66 
i = 441 , a = 20 , b = 8 , c = 28 
i = 442 , a = 14 , b = 39 , c = 53 
i = 443 , a = 1 , b = 38 , c = 39 
i = 444 , a = 20 , b = 8 , c = 28 
i = 445 , a = 24 , b = 10 , c = 34 
i = 446 , a = 28 , b = 33 , c = 61 
i = 447 , a = 27 , b = 17 , c = 44 
i = 448 , a = 10 , b = 10 , c = 20 
i = 449 , a = 28 , b = 16 , c = 44 
i = 450 , a = 36 , b = 39 , c = 75 
i = 451 , a = 22 , b = 32 , c = 54 
i = 452 , a = 34 , b = 11 , c = 45 
i = 453 , a = 17 , b = 7 , c = 24 
i = 454 , a = 19 , b = 17 , c = 36 
i = 455 , a = 3 , b = 19 , c = 22 
i = 456 , a = 39 , b = 17 , c = 56 
i = 457 , a = 2 , b = 6 , c = 8 
i = 458 , a = 28 , b = 32 , c = 60 
i = 459 , a = 3 , b = 17 , c = 20 
i = 460 , a = 20 , b = 1 , c = 21 
i = 461 , a = 1 , b = 15 , c = 16 
i = 462 , a = 7 , b = 8 , c = 15 
i = 463 , a = 18 , b = 18 , c = 36 
i = 464 , a = 39 , b = 24 , c = 63 
i = 465 , a = 31 , b = 35 , c = 66 
i = 466 , a = 15 , b = 16 , c = 31 
i = 467 , a = 14 , b = 5 , c = 19 
i = 468 , a = 19 , b = 26 , c = 45 
i = 469 , a = 12 , b = 28 , c = 40 
i = 470 , a = 15 , b = 34 , c = 49 
i = 471 , a = 7 , b = 8 , c = 15 
i = 472 , a = 24 , b = 28 , c = 52 
i = 473 , a = 29 , b = 33 , c = 62 
i = 474 , a = 9 , b = 38 , c = 47 
i = 475 , a = 4 , b = 37 , c = 41 
i = 476 , a = 5 , b = 35 , c = 40 
i = 477 , a = 29 , b = 32 , c = 61 
i = 478 , a = 23 , b = 14 , c = 37 
i = 479 , a = 15 , b = 5 , c = 20 
i = 480 , a = 17 , b = 0 , c = 17 
i = 481 , a = 20 , b = 5 , c = 25 
i = 482 , a = 38 , b = 37 , c = 75 
i = 483 , a = 11 , b = 3 , c = 14 
i = 484 , a = 29 , b = 12 , c = 41 
i = 485 , a = 9 , b = 7 , c = 16 
i = 486 , a = 7 , b = 22 , c = 29 
i = 487 , a = 28 , b = 21 , c = 49 
i = 488 , a = 12 , b = 13 , c = 25 
i = 489 , a = 35 , b = 14 , c = 49 
i = 490 , a = 23 , b = 39 , c = 62 
i = 491 , a = 24 , b = 14 , c = 38 
i = 492 , a = 29 , b = 21 , c = 50 
i = 493 , a = 30 , b = 39 , c = 69 
i = 494 , a = 2 , b = 25 , c = 27 
i = 495 , a = 20 , b = 37 , c = 57 
i = 496 , a = 21 , b = 34 , c = 55 
i = 497 , a = 9 , b = 1 , c = 10 
i = 498 , a = 26 , b = 2 , c = 28 
i = 499 , a = 32 , b = 12 , c = 44 
i = 500 , a = 21 , b = 21 , c = 42 
i = 501 , a = 2 , b = 36 , c = 38 
i = 502 , a = 0 , b = 12 , c = 12 
i = 503 , a = 37 , b = 10 , c = 47 
i = 504 , a = 23 , b = 22 , c = 45 
i = 505 , a = 1 , b = 2 , c = 3 
i = 506 , a = 1 , b = 39 , c = 40 
i = 507 , a = 29 , b = 17 , c = 46 
i = 508 , a = 30 , b = 34 , c = 64 
i = 509 , a = 25 , b = 13 , c = 38 
i = 510 , a = 36 , b = 15 , c = 51 
i = 511 , a = 7 , b = 26 , c = 33 
